userID,localID,startDate,endDate,duration,sleepData
4,1,2016-04-05T09:42:40.000Z,2016-04-05T09:58:08.000Z,16,43f016040546ff0000000000001100;
4,2,2016-04-05T10:02:48.000Z,2016-04-05T10:03:25.000Z,1,
4,3,2016-04-05T10:06:08.000Z,2016-04-05T10:22:39.000Z,17,43f016040548ff7d00012deb1f2300;
4,4,2016-04-05T10:32:35.000Z,2016-04-05T10:41:41.000Z,10,
4,5,2016-04-05T11:06:10.000Z,2016-04-06T01:40:37.000Z,875,43f01604054cff00002626381f3904;43f01604054dffbc29471555e0ce00;43f01604054effcb382e46230a1977;43f01604054fff0c1a0b2201010d00;43f016040550ff0d24e1740f7c7800;43f016040551ffe7aeea1f01010132;43f016040552ff0101010101010100;43f016040553ff0101010101010100;43f016040554ff0101010101010100;43f016040555ff0101010101010101;43f016040556ff0101010101010100;43f016040557ff0101010101010100;43f016040558ff0101010101010100;43f016040559ff0101010101010101;43f01604055aff0101010101010100;43f01604055bff0101010101010100;43f01604055cff0101010101010100;43f01604055dff0101010101010101;43f01604055eff0101010101010100;43f01604055fff0101010101010100;43f016040600ff0101010101010100;43f016040601ff0101010101010100;43f016040602ff0101010101010100;43f016040603ff0101010101010100;43f016040604ff0101010101010100;43f016040605ff0101010101010101;43f016040606ff0101010101010100;43f016040607ff0101010101010100;43f016040608ff0101010101010100;43f016040609ff0101010101010101;43f01604060aff0101010101010100;43f01604060bff0101010101010100;43f01604060cff0101010101010100;43f01604060dff0101010101010101;43f01604060eff0101010101010100;43f01604060fff0101010101010100;43f016040610ff0101010101010100;43f016040611ff0101010101010101;43f016040612ff0101010101010100;43f016040613ff0101010101010100;43f016040614ff0101010101010100;43f016040615ff0101010101010101;43f016040616ff0101010101010100;43f016040617ff0101010101010100;43f016040618ff0101010101010100;43f016040619ff0101010101010101;43f01604061aff0101010101010100;43f01604061bff0101010101010100;43f01604061cff0101010101010100;43f01604061dff0101010101010101;43f01604061eff0101010101010100;43f01604061fff0101010101010100;43f016040620ff0101010101010100;43f016040621ff0101010101010101;43f016040622ffa1c534229fe02900;43f016040623ff012d2826031d0100;43f016040624ff13061609130a1800;43f016040625ff01040101017b6c01;
30,1,2016-04-14T09:25:55.000Z,2016-04-14T09:39:24.000Z,13,43F016041445FF0000000000011000
30,2,2016-04-14T09:41:35.000Z,2016-04-14T10:04:31.000Z,22,43F016041446FF2A0D270C00010100;43F016041447FF0101010101010100
30,3,2016-04-14T10:04:51.000Z,2016-04-14T10:43:14.000Z,38,
30,4,2016-04-14T10:54:36.000Z,2016-04-14T11:35:30.000Z,40,43F01604144BFF0000000000160100;43F01604144CFF0101010101010100;43F01604144DFF0101010101010100
30,5,2016-04-14T20:45:45.000Z,2016-04-15T03:01:16.000Z,375,43F016041513FF0B4B445E1B174200;43F016041514FF1B07010101012600;43F016041515FF0101011501010100;43F016041516FF0101010101010100;43F016041517FF0101010101010100;43F016041518FF0105010101010100;43F016041519FF01010101122C2A01;43F01604151AFF012D063801010100;43F01604151BFF01018F0401071500;43F01604151CFF0103040101020100;43F01604151DFF0301060101010101;43F01604151EFF030101010B010100;43F01604151FFF0701015201010100;43F016041520FF0101010147010100;43F016041521FF0301010101010101;43F016041522FF0103010101010100;43F016041523FF0101010101010100;43F016041524FF0101010101010100;43F016041525FF0101010101010101;43F016041526FF01010101017FA200;43F016041527FF010101220CE37E00;43F016041528FFC701010101010100;43F016041529FF0101010188E1F701;43F01604152AFF480F030907020B00;43F01604152BFF0A01A69A0FF60100
60,1,2016-04-28T04:52:45.000Z,2016-04-28T08:54:12.000Z,241,43f016042833ff000000007e361500;43f016042834ff36535453105f6f00;43f016042835ff80708c9bdcb1c400;43f016042836ff273d0f1610100600;43f016042837ff240c1a395a604300;43f016042838ff2b0e01b7b97b2800;43f016042839ffb42416290e432254;43f01604283aff382d25361e43ab00;43f01604283bff262da43e30273e00;43f01604283cff31420c47363c1800;43f01604283dff3427260a1b3c225c;43f01604283effc1934e447e7a4200;43f01604283fff1b0e2f5a371c1800;43f016042840ff331d490f2ecacd00;43f016042841ff576826554dc6344e;43f016042842ff17782e0846181400;
60,3,2016-04-29T14:49:03.000Z,2016-04-30T04:04:59.000Z,795,43f01604295bff0000010101010100;43f01604295cff0101010101010100;43f01604295dff0101010101010101;43f01604295eff0101010101010100;43f01604295fff0101010101010100;43f016043000ff0101010101010100;43f016043001ff0101010101010100;43f016043002ff0101010101010100;43f016043003ff0101010101010100;43f016043004ff0101010101010100;43f016043005ff0101010101010101;43f016043006ff0101010101010100;43f016043007ff0101010101010100;43f016043008ff0101010101010100;43f016043009ff0101010101010101;43f01604300aff0101010101010100;43f01604300bff0101010101010100;43f01604300cff0101010101010100;43f01604300dff0101010101010101;43f01604300eff0101010101010100;43f01604300fff0101010101010100;43f016043010ff0101010101010100;43f016043011ff0101010101010101;43f016043012ff0101010101010100;43f016043013ff0101010101010100;43f016043014ff0101010101010100;43f016043015ff0101010101010101;43f016043016ff0101010101010100;43f016043017ff0101010101010100;43f016043018ff0101010101010100;43f016043019ff0101010101010101;43f01604301aff0101010101010100;43f01604301bff0101010101010100;43f01604301cff0101010101010100;43f01604301dff0101010101010101;43f01604301eff0101010101010100;43f01604301fff0101010101010100;43f016043020ff0101010101010100;43f016043021ff0101010101010101;43f016043022ff0101010101010100;43f016043023ff0101010101010100;43f016043024ff0101010101010100;43f016043025ff0101010101010101;43f016043026ff0101010101010100;43f016043027ff0101010101010100;43f016043028ff0101010101010100;43f016043029ff0101010101010101;43f01604302aff0101010101010100;43f01604302bff0101010101010100;43f01604302cff0101010101010100;43f01604302dff0101010101010101;43f01604302eff0101010101010100;43f01604302fff0101010101010100;
60,4,2016-04-30T16:31:32.000Z,2016-05-01T03:15:31.000Z,643,43f016050102ff0101010101010100;43f016050103ff0101010101010100;43f016050104ff0101010101010100;43f016050105ff0101010101010100;43f016050106ff0101010101010100;43f016050107ff0101010101010100;43f016050108ff0101010101010100;43f016050109ff0101010101010101;43f01605010aff0101010101010100;43f01605010bff0101010101010100;43f01605010cff0101010101010100;43f01605010dff0101010101010101;43f01605010eff0101010101010100;43f01605010fff0101010101010100;43f016050110ff0101010101010100;43f016050111ff0101010101010101;43f016050112ff0101010101010100;43f016050113ff0101010101010100;43f016050114ff0101010101010100;43f016050115ff0101010101010101;43f016050116ff0101010101010100;43f016050117ff0101010101010100;43f016050118ff0101010101010100;43f016050119ff0101010101010101;43f01605011aff0101010101010100;43f01605011bff0101010101010100;43f01605011cff0101010101010100;43f01605011dff0101010101010101;43f01605011eff0101010101010100;43f01605011fff0101010101010100;43f016050120ff0101010101010100;43f016050121ff0101010101010101;43f016050122ff0101010101010100;43f016050123ff0101010101010100;43f016050124ff0101010101010100;43f016050125ff0101010101010101;43f016050126ff0101010104010100;43f016050127ff0101010101010100;43f016050128ff0101010101010100;43f016050129ff0101010101010101;43f01605012aff0101010101010100;43f01605012bff0101010101010100;43f01605012cff0101010101010100;
60,6,2016-05-02T13:09:20.000Z,2016-05-03T05:09:00.000Z,959,43f016050254ff0000000001010100;
60,7,2016-05-09T03:01:06.000Z,2016-05-09T04:16:29.000Z,75,
60,8,2016-05-10T02:38:25.000Z,2016-05-10T03:53:58.000Z,75,43f01605102aff0000000d42330600;43f01605102bff7634020d201e1300;43f01605102cff1f10010c020d0c00;43f01605102dff0f13220e0b0a2200;43f01605102eff0d04150d11125400;
60,9,2016-05-10T14:40:52.000Z,2016-05-11T00:57:17.000Z,616,43f01605105aff0000000000010145;43f01605105bff0101010101010100;43f01605105cff0101010101010100;43f01605105dff0101010101010123;43f01605105eff0101010101010100;43f01605105fff0101010101010100;43f016051100ff0101010101010100;43f016051101ff0101010101010100;43f016051102ff0101010101010100;43f016051103ff0101010101010100;43f016051104ff0101010101010100;43f016051105ff0101010101010101;43f016051106ff0101010101010100;43f016051107ff0101010101010100;43f016051108ff0101010101010100;43f016051109ff0101010101010101;43f01605110aff0101010101010100;43f01605110bff0101010101010100;43f01605110cff0101010101010100;43f01605110dff0101010101010101;43f01605110eff0101010101010100;43f01605110fff0101010101010100;43f016051110ff0101010101010100;43f016051111ff0101010101010101;43f016051112ff0101010101010100;43f016051113ff0101010101010100;43f016051114ff0101010101010100;43f016051115ff0101010101010101;43f016051116ff0101010101010100;43f016051117ff0101010101010100;43f016051118ff0101010101010100;43f016051119ff0101010101010101;43f01605111aff0101010101010100;43f01605111bff0101010101010100;43f01605111cff0101010101010100;43f01605111dff0101010101010101;43f01605111eff0101010101010100;43f01605111fff0101010101010100;43f016051120ff0101010101010100;43f016051121ff0101010101010101;43f016051122ff0101010101010100;
60,10,2016-05-12T14:12:36.000Z,2016-05-13T01:02:23.000Z,649,43f016051258ff0000000000010100;43f016051259ff0101010101010100;43f01605125aff0101010101010100;43f01605125bff0101010101010100;43f01605125cff0101010101010100;43f01605125dff0101010101010101;43f01605125eff0101010101010100;43f01605125fff0101010101010100;43f016051300ff0101010101010100;43f016051301ff0101010101010100;43f016051302ff0101010101010100;43f016051303ff0101010101010100;43f016051304ff0101010101010100;43f016051305ff0101010101010101;43f016051306ff0101010101010100;43f016051307ff0101010101010100;43f016051308ff0101010101010100;43f016051309ff0101010101010101;43f01605130aff0101010101010100;43f01605130bff0101010101010100;43f01605130cff0101010101010100;43f01605130dff0101010101010101;43f01605130eff0101010101010100;43f01605130fff0101010101010100;43f016051310ff0101010101010100;43f016051311ff0101010101010101;43f016051312ff0101010101010100;43f016051313ff0101010101010100;43f016051314ff0101010101010100;43f016051315ff0101010101010101;43f016051316ff0101010101010100;43f016051317ff0101010101010100;43f016051318ff0101010101010100;43f016051319ff0101010101010101;43f01605131aff0101010101010100;43f01605131bff0101010101010100;43f01605131cff0101010101010100;43f01605131dff0101010101010101;43f01605131eff0101010101010100;43f01605131fff0101010101010100;43f016051320ff0101010101010100;43f016051321ff0101010101010101;43f016051322ff0101010101010100;43f016051323ff0101010101019700;
60,11,2016-05-16T10:39:10.000Z,2016-05-16T10:40:58.000Z,1,
60,12,2016-05-17T09:43:24.000Z,2016-05-17T10:12:41.000Z,29,43f016051746ff0000000000000a00;43f016051747ff0101010101011200;
60,13,2016-05-18T08:06:57.000Z,2016-05-18T08:22:39.000Z,15,43f016051840ff000000162cdedd00;
60,14,2016-05-19T01:55:22.000Z,2016-05-19T05:28:55.000Z,213,43f016051927ff00000000002f0100;43f016051928ff0101010101010100;43f016051929ff0101010101010100;43f01605192aff01ee2bfe03730100;43f01605192bff0101010101010100;43f01605192cff0101010101010100;43f01605192dff0101010101010101;43f01605192eff0101010101010100;43f01605192fff0101010101010100;43f016051930ff0101010101010100;43f016051931ff0101010101010101;43f016051932ff0101010101010100;43f016051933ff0101010101010100;43f016051934ff0101010101010100;
60,15,2016-05-19T10:09:00.000Z,2016-05-19T10:54:57.000Z,45,43f016051948ff000000001f254e01;43f016051949ff1333342c0b2c2301;43f01605194aff23124573b5911600;
60,16,2016-05-19T17:05:17.000Z,2016-05-20T00:34:42.000Z,449,43f016052004ff0000845f28d9a700;43f016052005ff0d1e160ee1630100;43f016052006ff0101010101010100;43f016052007ff0101010101010100;43f016052008ff0101010101010100;43f016052009ff0101010101010141;43f01605200aff0101010101010100;43f01605200bff0801010101010100;43f01605200cff0601010101010100;43f01605200dff0101091a01010101;43f01605200eff0101010149010100;43f01605200fff0101010101010100;43f016052010ff0101010101010100;43f016052011ff0a01010101010101;43f016052012ff0101230101010100;43f016052013ff193c010101010100;43f016052014ff0101010101010100;43f016052015ff0101010101010101;43f016052016ff0101010101011300;43f016052017ff2b01010101010100;43f016052018ff0101010110010800;43f016052019ff0105280101010101;43f01605201aff0101010101230100;43f01605201bff0101010101056400;43f01605201cff0760061301010100;43f01605201dff0101010101010101;43f01605201eff010101010b010100;43f01605201fff0101010108010100;43f016052020ff0101010e0c030100;43f016052021ff90010101013e0801;
60,17,2016-05-21T02:59:36.000Z,2016-05-21T03:00:53.000Z,1,43f01605212bff0000000000000000;
60,18,2016-05-26T14:22:38.000Z,2016-05-27T00:26:55.000Z,604,43f016052659ff0000000101010100;43f01605265aff0101010101010100;43f01605265bff0101010101010100;43f01605265cff016e689f09fe1100;43f01605265dff1a120124011a0a01;43f01605265eff66c5ca1f0b021400;43f01605265fff0108080918121c00;43f016052700ff420c060101150b00;43f016052701ff2c474f2001725300;43f016052702ff1a4009010f1a2e00;43f016052703ff2c507c84501f0100;43f016052704ff2003060f06010600;43f016052705ff050501243c065606;43f016052706ff99193405011b0c00;43f016052707ff881f68181b104500;43f016052708ff2a01010101010100;43f016052709ff01010101010101a5;43f01605270aff0101010101010100;43f01605270bff0101010101010100;43f01605270cff0101010101010100;43f01605270dff0101010101010101;43f01605270eff0101010101010100;43f01605270fff0101010101010100;43f016052710ff0101010101010100;43f016052711ff0101010101010101;43f016052712ff0101010101010100;43f016052713ff0101010101010100;43f016052714ff0101010101010100;43f016052715ff0101010101010101;43f016052716ff0101010101010100;43f016052717ff0101010101010100;43f016052718ff0101010101010100;43f016052719ff0101010101010101;43f01605271aff0101010101010100;43f01605271bff0101010101010100;43f01605271cff0101010101010100;43f01605271dff0101010101010101;43f01605271eff0101010101010100;43f01605271fff0101010101010100;43f016052720ff0101010101010100;
64,1,2016-05-03T15:48:56.000Z,2016-05-03T23:15:48.000Z,446,43F01605035FFF0000A30101010100;43F016050400FF0101010101010100;43F016050401FF010101010B250100;43F016050402FF0101010118010100;43F016050403FF0101080101010100;43F016050404FF0124010101010400;43F016050405FF01016E0901010101;43F016050406FF0101010101010100;43F016050407FF01060A010F010E00;43F016050408FF0101010101010100;43F016050409FF0112010101010101;43F01605040AFF0101010101012400;43F01605040BFF0105010101010100;43F01605040CFF020C010101010100;43F01605040DFF030C010101010101;43F01605040EFF0101060101010100;43F01605040FFF0107010104010100;43F016050410FF0101010101010200;43F016050411FF0501010101010108;43F016050412FF0101010101010100;43F016050413FF01010101011A0100;43F016050414FF0101010101010100;43F016050415FF0101010101010101;43F016050416FF1401010101010100;43F016050417FF01010B0101010100;43F016050418FF0101010101010100;43F016050419FF0101160101010101;43F01605041AFF0101010101010A00;43F01605041BFF01020C0101011000;43F01605041CFF0105180101010100
64,2,2016-05-04T16:45:31.000Z,2016-05-04T23:24:35.000Z,399,43F016050503FFBD36360102070100;43F016050504FF0101010101390100;43F016050505FF0115010101050100;43F016050506FF0110230101010100;43F016050507FF0101010107010100;43F016050508FF1444010101010100;43F016050509FF01240E0F01010101;43F01605050AFF0101011701010600;43F01605050BFF010123020C010E00;43F01605050CFF0101010101120100;43F01605050DFF1D021E0D01011301;43F01605050EFF0101010101010F00;43F01605050FFF01010101011D0100;43F016050510FF011D010101010100;43F016050511FF0101040101010101;43F016050512FF010E080101010100;43F016050513FF7A301B010D010100;43F016050514FF1601010101010100;43F016050515FF0101010101010101;43F016050516FF0101010110012600;43F016050517FF0124010101010100;43F016050518FF0101010905010100;43F016050519FF0101010101010101;43F01605051AFF01011E0101010100;43F01605051BFF01010101011C0100;43F01605051CFF01010A0101010100
